sample,x,y
A,2.26066,-3.97609
A,1.61184,-3.13216
A,-1.48463,-5.68845
A,7.25189,1.76447
A,-4.1155,2.04222
A,2.04476,-3.80059
A,-2.59568,-0.23588
A,2.47216,-3.73487
A,-0.55407,-3.02086
A,4.33673,-1.62633
A,3.2486,-1.67431
A,-5.22531,0.32393
A,-6.7585,1.3106
A,6.01902,-1.98119
A,5.55759,-2.41054
A,7.74594,-0.24567
A,1.94199,-3.77402
A,5.96394,-1.35642
A,4.14967,-3.65116
A,-4.58326,-0.78457
A,-2.08849,4.96582
A,1.10983,-2.33506
A,3.28582,-2.85979
A,-6.05382,-1.03759
A,-4.65625,0.29352
A,-0.64921,2.84989
A,1.36448,0.0619
A,0.1191,-1.95604
A,5.84599,-1.36032
A,-1.46054,4.26294
A,3.25073,-4.25759
A,4.53377,-3.46233
A,7.45198,0.12665
A,5.36849,-2.38056
A,-5.83572,-0.18528
A,1.70988,-5.05529
A,3.51159,-3.80731
A,1.76357,1.16324
A,1.73691,-1.9244
A,-2.12663,0.01573
A,3.17647,-2.73278
A,-1.72703,-1.98588
A,5.57365,-2.09401
A,2.8963,-2.45195
A,4.77469,-2.25265
A,4.66801,-3.65135
A,-3.00388,-1.23767
A,4.78113,-2.17646
A,-3.77357,3.19358
A,3.94734,-4.37281
A,3.18564,-4.69625
A,0.75303,-5.19947
A,3.26769,-1.0937
A,-4.56805,0.20705
A,4.00277,1.33877
A,-4.02224,0.94624
A,4.90223,0.33281
A,3.86732,-4.08639
A,1.34308,-5.4706
A,1.23724,-0.41879
A,-0.74624,-0.51223
A,0.14187,-2.2884
A,-0.07042,5.47449
A,-3.92489,-0.16811
A,2.39077,-3.6616
A,3.3405300000000002,-1.87487
A,3.54366,-2.89442
A,-2.26257,-4.16246
A,1.14186,-5.23007
A,-4.46669,-2.70132
A,-0.96983,-4.23444
A,-1.65862,5.86534
A,1.72303,-2.48768
A,1.12813,-5.34864
A,-2.17011,4.00984
A,-6.16922,-0.67991
A,3.48783,-2.0021
A,-6.22,2.57669
A,0.6943,-3.00536
A,-0.2412,-5.51027
A,0.64983,-2.10312
A,1.01062,-3.99364
A,-0.16827,1.75543
A,0.65541,-1.31896
A,7.74561,-0.81688
A,-3.71609,-1.08398
A,5.49913,-2.12467
A,0.16364,-0.30393
A,2.346,-4.42063
A,-5.76574,-2.67132
A,3.94615,-3.96093
A,-0.58562,1.85703
A,-2.21815,3.97078
A,3.26291,-4.31035
A,-0.94917,6.18667
A,-4.70813,-0.218
A,6.30958,-0.76492
A,7.21661,1.02515
A,-1.14517,-5.14641
A,2.12559,-4.85006
A,1.24886,-1.99368
A,1.79674,-4.65318
A,-3.17722,1.16013
A,3.73617,-3.59043
A,6.10006,-0.01868
A,-1.53193,6.14045
A,7.7012,-0.83519
A,-4.17819,-0.19585
A,0.11433,-0.16472
A,-5.54689,-2.2355
A,2.529,-4.32653
A,-1.47226,-0.17028
A,6.72756,-0.84299
A,-6.33721,-0.44102
A,-0.76254,-0.30501
A,-2.03338,1.14073
A,4.9396,-2.93062
A,1.61238,-3.4202
A,-1.75224,5.79057
A,-5.47509,-1.5931
A,2.86364,-2.27408
A,-3.19528,-1.12669
A,-1.83563,-0.24126
A,-1.761,4.17629
A,-0.4595,0.47901
A,2.31215,-3.94713
A,5.23951,-2.25167
A,-1.08537,4.03997
A,5.73892,-2.28583
A,-6.0464,-0.26745
A,3.38947,-4.09561
A,-3.86102,1.36509
A,5.41713,-2.52065
A,-2.06278,5.79715
A,2.50656,-4.8828
A,-2.85796,2.39886
A,0.48852,-4.10066
A,-4.43429,0.71883
A,-2.57721,0.86042
A,3.9149,-1.84561
A,-4.09287,-4.34019
A,4.67949,3.36789
A,-6.35153,-0.8734
A,-5.51973,0.03441
A,1.92263,-4.76923
A,3.28422,-3.80204
A,2.76441,-2.30806
A,5.16312,0.76226
A,-0.04758,1.35936
A,-5.54756,0.21298
A,4.37344,-3.56587
A,2.47399,-4.06811
A,4.96267,5.60762
A,1.04084,-3.24666
A,-2.74619,4.97142
A,-6.6153,2.02192
A,-1.93243,-0.52915
A,1.14643,-3.30832
A,-3.30209,-2.08393
A,2.96098,-4.62569
A,-0.2399,-6.42576
A,-1.34126,-4.81955
A,5.08058,-3.03539
A,5.69654,-1.16245
A,5.67911,-2.05799
A,0.1412,-2.9063
A,6.20926,-1.22513
A,4.15932,-3.23921
A,-5.80204,-0.57887
A,4.1943,-3.28766
A,-5.66247,-0.3523
A,0.12035,-0.32003
A,-2.79121,4.78302
A,0.44367,-2.33094
A,4.28699,-2.53615
A,-1.13792,2.78471
A,-0.92474,-0.70531
A,-2.10744,0.02969
A,1.35635,-6.35864
A,2.15892,-1.73352
A,-0.41665,-1.1239
A,0.98883,-2.57526
A,-4.80912,-2.59538
A,-7.01478,1.2312
A,1.7648,-5.86508
A,-6.42726,-0.52359
A,-1.35612,-2.37788
A,6.89185,1.03669
A,5.47433,-1.88005
A,5.12463,-2.84846
A,2.38524,-3.58402
A,0.66108,-5.27123
A,7.80933,-0.61388
A,4.31603,-1.83255
A,-0.95258,-1.58059
A,-3.01454,4.66256
A,2.63414,-3.82818
A,-2.30134,-0.28972
A,0.02803,3.02515
A,3.65768,-2.88972
A,0.97497,-2.64419
A,-6.2270200000000004,-0.56989
A,1.74101,-4.29081
A,-3.80042,-0.11088
A,5.53921,-1.55164
A,-1.78935,0.2456
A,2.61971,-3.77266
A,2.75043,-4.27109
A,-2.85352,0.32822
A,3.90936,-1.65967
A,7.50903,-0.86804
A,-0.72802,-5.09285
A,-5.12923,-0.7733
A,5.73763,-1.26442
A,-3.24195,4.23293
A,7.2653,-0.30993
A,3.74081,-3.33669
A,0.99792,-3.91294
A,-1.42942,-0.27758
A,0.47242,-4.19448
A,7.25255,1.48761
A,-0.18622,-6.10414
A,-2.30183,5.47193
A,-2.44936,-0.81924
A,-0.54648,2.8412
A,1.80136,-6.2337
A,7.66583,-0.59653
A,-5.65764,0.55353
A,-7.26822,1.75611
A,-3.89685,0.49943
A,-0.01265,0.99538
A,0.04338,-5.40836
A,2.56487,-4.56743
A,3.4859,-4.70207
A,5.55708,-2.39404
A,5.051,-2.35869
A,-1.37759,3.90899
A,5.09212,-2.93796
A,-4.76506,-0.05611
A,0.818,-3.86198
A,5.02827,-3.19778
A,0.09142,-0.91392
A,-3.43909,0.95066
A,2.07209,-0.33276
A,1.99543,-4.77701
A,-2.16974,1.29863
A,2.46887,-4.98571
A,7.55174,-0.99018
A,-1.28602,-1.50503
A,0.40297,-2.59251
A,-1.23621,5.7048
A,-7.78761,1.53134
A,2.99041,-2.11175
A,0.15709,-4.12879
A,-0.32598,3.00034
A,0.47601,-6.68844
A,3.66495,-4.34173
A,2.27497,0.54447
A,5.1618,-2.483
A,1.11021,-7.22759
A,6.17915,-1.36317
A,-3.04583,-0.47783
A,1.70105,-1.3147200000000001
A,1.61257,-6.13602
A,-1.74616,-0.85488
A,3.85482,-3.53889
